telemetry_id,flap_p_kmh,flap_v_kmh,flap_b_kmh,gear_kmh
a-20g,296,407,428,296
a-26b,351,482,507,270
a-26b_10,351,482,507,270
a-26c,351,482,507,270
a-26c-45-dt,351,482,507,270
a-35b,278,290,369,278
a2d,301,351,429,301
a5m4,220,369,398,
a5m4_hagiri,220,369,398,
a6m2_mod11,280,451,484,310
a6m2_n_zero,320,469,498,
a6m2_zero,280,451,484,310
a6m2_zero_china,280,451,484,310
a6m2_zero_usa,280,451,484,310
a6m3_mod22_zero,220,369,398,240
a6m3_mod22ko_zero,220,369,398,240
a6m3_zero,220,369,398,290
a6m5_zero,220,369,398,300
a6m5hei,220,369,398,300
a6m5ko,220,369,398,300
a6m5otsu,220,369,398,300
a6m6c,220,369,398,300
a7he1,320,469,498,300
a7m1,280,451,484,310
a7m2,280,451,484,310
a_10a_early,370,370,370,370
a_10a_late,370,370,370,370
a_10c,370,370,370,370
a_20g_30_ussr,296,407,428,296
a_29_hudson,235,313,328,235
a_4b,410,563,592,437
a_4e_early,410,563,592,437
a_4e_early_iaf,410,563,592,437
a_4e_late_iaf,410,563,592,437
a_4h,410,563,592,437
a_4n,410,563,592,437
a_5c,577,577,577,577
a_6e_tram,460,460,460,460
a_7d,407,457,484,407
a_7e,407,457,484,407
a_7e_thailand,407,457,484,407
a_7k,407,457,484,407
alpha_jet_a,390,390,390,390
alpha_jet_a_jabog41,390,390,390,390
alpha_jet_a_thailand,390,390,390,390
alpha_jet_e,390,390,390,390
alpha_jet_th_phase_1,390,390,390,390
am_1_mauler,300,350,420,700
amx,333,838,936,444
amx_a_1a_brazil,333,838,936,444
ar_2,280,310,316,350
arado-196a-3,140,319,353,
arado-196a-5,140,319,353,
arado-234,350,499,528,400
arado-234c-3,350,499,528,400
ariete,320,469,498,450
attaker_fb1,987,997,999,351
attaker_fb2,987,997,999,351
av_8a,648,648,648,648
av_8b_na,648,648,648,648
av_8b_plus,648,648,648,648
av_8b_plus_italy,648,648,648,648
av_8c,648,648,648,648
av_8s_late_thailand,648,648,648,648
av_8s_thailand,648,648,648,648
avenger_mk1,285,285,285,397
b-17e,249,361,383,290
b-17e_japan,249,361,383,290
b-17e_late,249,361,383,290
b-17g,249,361,383,290
b-17g_iaf,249,361,383,290
b-29,270,322,332,389
b-57,320,320,320,450
b-57b,320,320,320,450
b5n2,280,385,405,450
b6n1,280,355,369,310
b6n2,280,355,369,310
b6n2a,280,355,369,310
b7a2,280,429,458,350
b7a2_homare_23,280,429,458,350
b_10b,235,313,328,235
b_18a,280,325,333,350
