telemetry_id,vne_kmh
a-20g,696.0
a-26b,718.0
a-26b_10,718.0
a-26c,718.0
a-26c-45-dt,718.0
a-35b,702.0
a2d,875.0
a5m4,558.0
a5m4_hagiri,558.0
a6m2_mod11,660.0
a6m2_n_zero,650.0
a6m2_zero,660.0
a6m2_zero_china,660.0
a6m2_zero_usa,660.0
a6m3_mod22_zero,660.0
a6m3_mod22ko_zero,660.0
a6m3_zero,703.0
a6m5_zero,703.0
a6m5hei,777.0
a6m5ko,777.0
a6m5otsu,777.0
a6m6c,777.0
a7he1,730.0
a7m1,826.0
a7m2,826.0
a_10a_early,874.0
a_10a_late,874.0
a_10c,874.0
a_20g_30_ussr,696.0
a_29_hudson,564.0
a_4b,1167.0
a_4e_early,1167.0
a_4e_early_iaf,1167.0
a_4e_late_iaf,1167.0
a_4h,1167.0
a_4n,1167.0
a_5c,1260.0
a_6e_tram,1322.0
a_7d,1254.0
a_7e,1254.0
a_7e_thailand,1254.0
a_7k,1254.0
alpha_jet_a,1127.0
alpha_jet_a_jabog41,1127.0
alpha_jet_a_thailand,1127.0
alpha_jet_e,1127.0
alpha_jet_th_phase_1,1127.0
am_1_mauler,805.0
amx,1180.0
amx_a_1a_brazil,1180.0
ar_2,650.0
arado-196a-3,570.0
arado-196a-5,570.0
arado-234,1000.0
arado-234c-3,1000.0
ariete,1125.0
attaker_fb1,985.0
attaker_fb2,985.0
av_8a,1463.0
av_8b_na,1137.0
av_8b_plus,1137.0
av_8b_plus_italy,1137.0
av_8c,1463.0
av_8s_late_thailand,1463.0
av_8s_thailand,1463.0
avenger_mk1,612.0
b-17e,516.0
b-17e_japan,516.0
b-17e_late,516.0
b-17g,516.0
b-17g_iaf,516.0
b-29,507.0
b-57,990.0
b-57b,990.0
b5n2,555.0
b6n1,650.0
b6n2,650.0
b6n2a,650.0
b7a2,680.0
b7a2_homare_23,680.0
b_10b,564.0
b_18a,580.0
b_239_finland,761.0
b_24d,600.0
b_25j_1,591.0
b_25j_20,591.0
b_25j_30_china,591.0
b_25j_30_vvs_ussr,591.0
b_26b_c,597.0
b_26c_france,597.0
b_34,633.0
b_48_firecrest,750.0
b_52h,910.0
b_66b,1098.0
ba_65_a80,590.0
ba_65_k14_l,590.0
bb-1,541.0
be_6,500.0
beaufighter_mk1_40mm,676.0
beaufighter_mk21,676.0
beaufighter_mk6c,676.0
beaufighter_mkx,676.0
beaufort_mkviii,523.0
bf-109a_1,790.0
bf-109b_2,790.0
bf-109c_1,790.0
bf-109c_1_promo,790.0
bf-109e-1,790.0
bf-109e-3,790.0
bf-109e-3_japan,790.0
bf-109e-4,790.0
bf-109e-7,790.0
bf-109f-1,790.0
bf-109f-2,790.0
bf-109f-4,790.0
bf-109f-4_hungary,790.0
bf-109f-4_trop,790.0
bf-109f-4_usa,790.0
bf-109g-10,790.0
bf-109g-14,790.0
bf-109g-14as,790.0
bf-109g-2,790.0
bf-109g-2_finland,790.0
bf-109g-2_hungary,790.0
bf-109g-2_romania,790.0
bf-109g-6,790.0
bf-109g-6_erla_finland,790.0
bf-109g-6_finland,790.0
bf-109k-4,790.0
bf-109z,790.0
bf-110c-4,715.0
bf-110c-6,715.0
bf-110f-2,745.0
bf-110g-2,745.0
bf2c_1,600.0
bf_109t_2,790.0
bf_110g_4,745.0
bf_110g_4_hungary,745.0
bi,920.0
blenheim_mkiv,482.0
boomerang_mki,693.0
boomerang_mkii,693.0
boston_mk_1,665.0
br_20_dr,675.0
br_20m_m1,675.0
br_693_ab2,591.0
breda_88,713.0
brigand_b1,680.0
btd-1,885.0
buccaneer_s1,1181.0
buccaneer_s2,1181.0
buccaneer_s2b,1181.0
bv-138c-1,405.0
bv-155b-1,730.0
bv-238,546.0
c_3604,682.0
canberra_bimk6,990.0
canberra_bmk2,990.0
caudron_cr714,735.0
cf_188a_canada,1477.0
corsair_fmk2,885.0
cr_32,590.0
cr_32_bis,590.0
cr_32_quater,590.0
cw_21,735.0
d3a1,600.0
d4y1,750.0
d4y2,750.0
d4y3,750.0
d_371,560.0
d_371_hs9,560.0
d_373,630.0
d_500,576.0
d_501,576.0
d_510,576.0
d_510c,576.0
d_520,800.0
d_520_france,800.0
d_521,800.0
db_3a_china,600.0
db_3b,600.0
db_7,665.0
db_lk,580.0
dh_110_sea_vixen,1185.0
do_17e_1,640.0
do_17z_2,620.0
do_17z_7,620.0
do_217e_2,700.0
do_217e_4,700.0
do_217j_1,700.0
do_217j_2,700.0
do_217k_1,700.0
do_217m_1,700.0
do_217n_1,700.0
do_217n_2,700.0
do_335a_0,945.0
do_335a_1,945.0
do_335b_2,945.0
douglas_a_1h,797.0
douglas_ad_2,797.0
douglas_ad_4,797.0
douglas_ad_4_france,797.0
douglas_ad_4na_france,797.0
ef_2000_aesa,1607.0
ef_2000_block_10,1607.0
ef_2000_fgr4,1607.0
ef_2000_typhoon_aesa,1607.0
ef_2000a,1607.0
ef_2000a_aesa,1607.0
er-2_ach30b_early,551.0
er-2_ach30b_late,551.0
er-2_m105_mv3,556.0
er-2_m105_tat,556.0
er-2_m105r_lu2b,556.0
er-2_m105r_tat,556.0
etndard_4m,1263.0
f-100a_china,1361.0
f-100d,1361.0
f-100d_france,1361.0
f-104a,1555.0
f-104a_china,1555.0
f-104c,1555.0
f-104g,1555.0
f-104g_belgium,1555.0
f-104g_china,1555.0
f-104g_italy,1555.0
f-104j,1555.0
f-104s,1555.0
